date  time
2018-05-12	09-54-42
2018-05-12	11-23-58
2018-05-12	11-24-20
2018-05-12	11-25-44
2018-05-12	11-28-12
2018-05-12	11-28-28
2018-05-12	11-28-35
2018-05-12	11-28-49
2018-05-12	11-30-59
2018-05-12	11-33-16
2018-05-12	11-38-41
2018-05-12	11-39-04
2018-05-12	11-47-09
2018-05-12	11-49-59
2018-05-12	12-24-08
2018-05-12	12-26-43
2018-05-12	12-36-40
2018-05-12	12-42-59
2018-05-12	12-46-35
2018-05-12	13-26-31
2018-05-12	13-29-03
2018-05-12	14-38-24
2018-05-12	14-43-02
2018-05-12	15-26-02
2018-05-12	16-35-24
2018-05-12	16-36-41
2018-05-12	16-42-12
2018-05-12	16-43-56
2018-05-12	16-45-48
2018-05-12	17-09-09
2018-05-12	17-37-29
2018-05-12	19-33-38
2018-05-12	19-42-38
2018-05-12	19-46-29
2018-05-12	19-48-37
2018-05-12	19-48-47
2018-05-12	20-23-59
2018-05-12	20-28-33
2018-05-12	21-42-31
2018-05-12	21-52-38
2018-05-13	01-24-17
2018-05-13	01-39-07
2018-05-13	01-39-15
2018-05-13	01-51-21
2018-05-13	01-56-16
2018-05-13	02-43-56
2018-05-13	02-49-32
2018-05-13	04-39-35
2018-05-13	04-44-31
2018-05-13	05-24-05
2018-05-13	05-24-27
2018-05-13	05-28-21
2018-05-13	05-45-42
2018-05-13	06-24-15
2018-05-13	06-26-23
2018-05-13	06-31-09
2018-05-13	06-31-39
2018-05-13	06-43-29
2018-05-13	06-45-41
2018-05-13	06-47-02
2018-05-13	07-26-16
2018-05-13	07-38-17
2018-05-13	08-22-58
2018-05-13	08-31-24
2018-05-13	08-38-13
2018-05-13	08-45-32
2018-05-13	08-49-24
2018-05-13	09-25-55
2018-05-13	09-45-42
2018-05-13	10-23-37
2018-05-13	10-24-15
2018-05-13	10-24-34
2018-05-13	10-27-05
2018-05-13	10-28-43
2018-05-13	11-31-08
2018-05-13	11-35-21
2018-05-13	12-25-18
2018-05-13	12-25-20
2018-05-13	14-35-31
2018-05-13	14-36-01
2018-05-13	14-39-11
2018-05-13	14-44-24
2018-05-13	14-53-51
2018-05-13	15-26-48
2018-05-13	15-37-18
2018-05-13	15-39-23
2018-05-13	15-46-26
2018-05-13	15-46-39
2018-05-13	16-24-24
2018-05-13	16-43-20
2018-05-13	16-49-57
2018-05-13	17-33-57
2018-05-13	17-43-19
2018-05-13	17-45-27
2018-05-13	17-49-40
2018-05-13	18-24-30
2018-05-13	18-24-53
2018-05-13	18-28-11
2018-05-13	18-45-20
2018-05-13	18-50-51
2018-05-13	20-01-42
2018-05-13	20-02-51
2018-05-13	20-21-53
2018-05-13	20-28-29
2018-05-13	21-23-32
2018-05-13	21-28-31
2018-05-13	21-29-39
2018-05-13	21-31-09
2018-05-13	21-38-14
2018-05-13	21-54-22
2018-05-13	22-06-08
2018-05-13	22-35-40
